mktrf,smb,hml,rmw,cma,rf,umd,dateff
0.061600,-0.015600,-0.041900,-0.007600,-0.033900,0.00380,0.089200,1998-12-31
0.035000,-0.007500,-0.046000,-0.027700,-0.068000,0.00350,0.030300,1999-01-29
-0.040800,-0.052200,0.019200,-0.012300,0.041000,0.00350,-0.001000,1999-02-26
0.034500,-0.042300,-0.027400,-0.040700,-0.014200,0.00430,-0.012700,1999-03-31
0.043300,0.045200,0.024600,-0.025300,0.008900,0.00370,-0.090400,1999-04-30
-0.024600,0.037100,0.023500,0.009300,0.033400,0.00340,-0.051900,1999-05-28
0.047700,0.022900,-0.031900,0.011300,-0.032100,0.00400,0.050600,1999-06-30
-0.034900,0.025700,-0.004400,0.003600,0.032200,0.00380,0.016600,1999-07-30
-0.013800,-0.017300,-0.018700,-0.002400,0.006400,0.00390,0.031200,1999-08-31
-0.027900,0.025900,-0.034900,-0.007500,-0.012300,0.00390,0.064700,1999-09-30
0.061200,-0.069100,-0.033700,-0.017400,-0.011900,0.00390,0.055000,1999-10-29
0.033700,0.058000,-0.061200,-0.042800,-0.017400,0.00360,0.056400,1999-11-30
0.077200,0.053900,-0.083300,-0.076000,-0.056300,0.00440,0.132200,1999-12-31
-0.047400,0.044200,-0.018800,-0.062900,0.047200,0.00410,0.019200,2000-01-31
0.024500,0.182800,-0.095900,-0.186500,-0.004800,0.00430,0.182000,2000-02-29
0.052000,-0.153200,0.081300,0.117900,-0.015900,0.00470,-0.068300,2000-03-31
-0.064000,-0.050100,0.072600,0.076600,0.056500,0.00460,-0.083900,2000-04-28
-0.044200,-0.038100,0.047500,0.041300,0.013700,0.00500,-0.089800,2000-05-31
0.046400,0.099200,-0.084200,-0.083100,-0.029500,0.00400,0.166000,2000-06-30
-0.025100,-0.010300,0.083100,0.058300,0.029400,0.00480,-0.000500,2000-07-31
0.070300,-0.010300,-0.013900,-0.032200,0.011000,0.00500,0.057300,2000-08-31
-0.054500,0.001900,0.071700,0.025600,0.055300,0.00510,0.019700,2000-09-29
-0.027600,-0.026500,0.057100,0.096100,0.038000,0.00560,-0.044800,2000-10-31
-0.107200,-0.005800,0.123000,0.130700,0.084300,0.00510,-0.023200,2000-11-30
0.011900,0.032600,0.076100,0.017100,0.047900,0.00500,0.067400,2000-12-29
0.031300,0.054800,-0.050700,-0.046900,-0.050300,0.00540,-0.253000,2001-01-31
-0.100500,0.028300,0.124700,0.091000,0.090700,0.00380,0.125700,2001-02-28
-0.072600,0.023300,0.064200,0.033500,0.039200,0.00420,0.085500,2001-03-30
0.079400,-0.008600,-0.046700,-0.030600,-0.032000,0.00390,-0.079000,2001-04-30
0.007200,0.036000,0.033600,0.002500,0.019100,0.00320,0.022100,2001-05-31
-0.019400,0.065700,-0.011200,0.016000,-0.015100,0.00280,0.003800,2001-06-29
-0.021300,-0.028200,0.052100,0.074200,0.030600,0.00300,0.055800,2001-07-31
-0.064600,0.027200,0.023100,0.040500,0.065600,0.00310,0.055300,2001-08-31
-0.092500,-0.057300,0.014500,0.049900,0.032200,0.00280,0.114800,2001-09-28
0.024600,0.052700,-0.076500,-0.029800,-0.045600,0.00220,-0.084700,2001-10-31
0.075400,-0.003000,0.022100,-0.037300,-0.016400,0.00170,-0.086900,2001-11-30
0.016000,0.051600,0.008400,0.003400,-0.002600,0.00150,0.000700,2001-12-31
-0.014400,0.012600,0.034400,0.046900,0.028600,0.00140,0.037500,2002-01-31
-0.022900,-0.003600,0.021600,0.080700,0.051100,0.00130,0.068200,2002-02-28
0.042400,0.042500,0.010600,-0.017800,0.005900,0.00130,-0.016400,2002-03-28
-0.052000,0.067200,0.038800,0.045600,0.053700,0.00150,0.076300,2002-04-30
-0.013800,-0.030100,0.015300,0.023600,0.024400,0.00140,0.031600,2002-05-31
-0.072100,0.038900,-0.000500,0.039300,0.025200,0.00130,0.060300,2002-06-28
-0.081800,-0.064300,-0.038500,0.037900,-0.009900,0.00150,0.037700,2002-07-31
0.005000,-0.013100,0.032800,0.013600,-0.014600,0.00140,0.019000,2002-08-30
-0.103500,0.030800,0.014500,0.032800,-0.022000,0.00140,0.091300,2002-09-30
0.078400,-0.043100,-0.039400,-0.033900,0.007700,0.00140,-0.055800,2002-10-31
0.059600,0.029300,-0.012600,-0.092200,0.051200,0.00120,-0.163300,2002-11-29
-0.057600,0.006100,0.021400,0.063000,-0.016800,0.00110,0.096400,2002-12-31
-0.025700,0.006900,-0.008100,-0.009700,0.007000,0.00100,0.015500,2003-01-31
-0.018800,-0.009400,-0.013700,0.008400,-0.006100,0.00090,0.011700,2003-02-28
0.010900,0.006600,-0.019400,0.018600,-0.007800,0.00100,0.014800,2003-03-31
0.082200,0.010100,0.011500,-0.046700,0.010700,0.00100,-0.093300,2003-04-30
0.060500,0.048200,0.003900,-0.070100,0.029000,0.00090,-0.107000,2003-05-30
0.014200,0.016600,0.001100,0.005000,-0.003900,0.00100,-0.010000,2003-06-30
0.023500,0.045400,-0.012400,-0.041400,0.017800,0.00070,-0.002400,2003-07-31
0.023400,0.024800,0.015300,-0.022500,0.021400,0.00070,-0.006200,2003-08-29
-0.012400,0.005400,0.001700,0.010100,0.003500,0.00080,-0.001900,2003-09-30
