mktrf,smb,hml,rmw,cma,rf,umd,dateff
-0.095700,-0.028800,-0.018800,-0.000300,0.002100,0.00200,0.021100,2018-12-31
0.084000,0.030100,-0.004500,-0.007800,-0.015200,0.00210,-0.086600,2019-01-31
0.034000,0.017500,-0.027100,0.001200,-0.016000,0.00180,0.008500,2019-02-28
0.011000,-0.035100,-0.041200,0.009100,-0.009400,0.00190,0.021900,2019-03-29
0.039700,-0.011500,0.021600,0.015900,-0.022200,0.00210,-0.029700,2019-04-30
-0.069400,-0.015900,-0.023700,-0.004600,0.017700,0.00210,0.075800,2019-05-31
0.069300,0.003700,-0.007000,0.009000,-0.004400,0.00180,-0.022500,2019-06-28
0.011900,-0.017800,0.004700,-0.000700,0.003400,0.00190,0.028800,2019-07-31
-0.025800,-0.032400,-0.047900,0.005600,-0.006800,0.00160,0.069100,2019-08-30
0.014300,0.002600,0.067700,0.018400,0.033900,0.00180,-0.068300,2019-09-30
0.020600,0.002700,-0.019000,0.004300,-0.009500,0.00160,0.001500,2019-10-31
0.038800,0.004500,-0.019900,-0.016300,-0.012500,0.00120,-0.026400,2019-11-29
0.027700,0.009700,0.017800,-0.000200,0.012300,0.00140,-0.018700,2019-12-31
-0.001100,-0.044000,-0.062500,-0.012000,-0.023000,0.00130,0.059700,2020-01-31
-0.081300,0.000400,-0.038000,-0.014900,-0.025200,0.00120,-0.003500,2020-02-28
-0.133900,-0.082400,-0.138800,-0.015600,0.012600,0.00130,0.079600,2020-03-31
0.136500,0.025600,-0.013400,0.027300,-0.010300,0.00000,-0.052600,2020-04-30
0.055800,0.019900,-0.048500,0.009300,-0.032400,0.00010,0.004100,2020-05-29
0.024600,0.019700,-0.022300,0.001300,0.005300,0.00010,-0.007300,2020-06-30
0.057700,-0.031800,-0.014400,0.004000,0.010300,0.00010,0.075900,2020-07-31
0.076300,-0.009500,-0.028800,0.043300,-0.012600,0.00010,0.004400,2020-08-31
-0.036300,-0.000500,-0.026500,-0.012800,-0.019600,0.00010,0.031400,2020-09-30
-0.021000,0.045400,0.043100,-0.007600,-0.008800,0.00010,-0.032000,2020-10-30
0.124700,0.070500,0.021500,-0.022200,0.012800,0.00010,-0.124700,2020-11-30
0.046300,0.047000,-0.013400,-0.018800,-0.002600,0.00010,-0.023800,2020-12-31
-0.000300,0.070800,0.028500,-0.039200,0.051800,0.00010,0.045300,2021-01-29
0.027800,0.045600,0.071000,0.003900,-0.019500,0.00000,-0.079300,2021-02-26
0.030800,-0.007800,0.072700,0.063400,0.035700,0.00000,-0.061600,2021-03-31
0.049300,-0.031600,-0.009500,0.024700,-0.027100,0.00000,0.012200,2021-04-30
0.002900,0.012000,0.071300,0.024000,0.030200,0.00000,0.009000,2021-05-28
0.027500,-0.004100,-0.077500,-0.020400,-0.010200,0.00000,0.021600,2021-06-30
0.012700,-0.045900,-0.018100,0.054800,-0.005200,0.00000,-0.023100,2021-07-30
0.029100,-0.007100,-0.001000,-0.002200,-0.018200,0.00000,0.024900,2021-08-31
-0.043700,0.010900,0.051000,-0.019500,0.020900,0.00000,0.015000,2021-09-30
0.066500,-0.027200,-0.004500,0.017200,-0.014400,0.00000,0.032400,2021-10-29
-0.015500,-0.017700,-0.004100,0.072700,0.017400,0.00000,0.008600,2021-11-30
0.031000,-0.007900,0.032200,0.048300,0.043200,0.00010,-0.027400,2021-12-31
-0.062500,-0.040900,0.128000,0.008400,0.077400,0.00000,-0.026200,2022-01-31
-0.022900,0.029200,0.031000,-0.021000,0.031600,0.00000,0.017700,2022-02-28
0.030600,-0.022000,-0.017600,-0.015000,0.031800,0.00010,0.029700,2022-03-31
-0.094600,-0.004000,0.061700,0.034700,0.058700,0.00010,0.048700,2022-04-29
-0.003400,-0.001600,0.085900,0.017000,0.039900,0.00030,0.024600,2022-05-31
-0.084400,0.013600,-0.061000,0.017400,-0.047200,0.00060,0.007300,2022-06-30
0.095700,0.018300,-0.040300,0.008500,-0.068200,0.00080,-0.039400,2022-07-29
-0.037700,0.015200,0.002900,-0.047900,0.013300,0.00190,0.021000,2022-08-31
-0.093500,-0.010400,0.000200,-0.014600,-0.007900,0.00190,0.035100,2022-09-30
0.078300,0.018800,0.080600,0.033100,0.066200,0.00230,0.039600,2022-10-31
0.046100,-0.027500,0.014100,0.063200,0.032000,0.00290,-0.019800,2022-11-30
-0.064100,-0.001400,0.013400,0.002700,0.042100,0.00330,0.045300,2022-12-30
0.066400,0.044200,-0.040000,-0.024200,-0.044400,0.00350,-0.160200,2023-01-31
-0.025900,0.006600,-0.008300,0.010300,-0.013200,0.00340,0.001300,2023-02-28
0.025100,-0.069300,-0.088700,0.023300,-0.023900,0.00360,-0.024500,2023-03-31
0.006100,-0.025700,-0.000500,0.024200,0.028500,0.00350,0.016200,2023-04-28
0.003500,-0.003800,-0.077400,-0.018200,-0.072000,0.00360,-0.006500,2023-05-31
0.064700,0.013600,-0.002000,0.022700,-0.016200,0.00400,-0.023500,2023-06-30
0.032100,0.028400,0.041100,-0.005700,0.006200,0.00450,-0.040500,2023-07-31
-0.023900,-0.036800,-0.010800,0.034200,-0.023700,0.00450,0.037700,2023-08-31
-0.052400,-0.017900,0.014500,0.018500,-0.008400,0.00430,0.002400,2023-09-29
-0.031800,-0.040500,0.001900,0.024700,-0.006700,0.00470,0.016800,2023-10-31
0.088300,-0.001100,0.016600,-0.038100,-0.009900,0.00440,0.027600,2023-11-30
0.048700,0.073300,0.049200,-0.030400,0.013000,0.00430,-0.054800,2023-12-29
0.007000,-0.056800,-0.024700,0.006600,-0.010200,0.00470,0.050800,2024-01-31
