Model,MAE,MSE,RMSE,R2,MASE
linear_5f,0.010738810502595725,0.00044022892234379826,0.020981632976100745,0.10569342137534443,0.6362969326619998
ffnn_5f,0.014077200781988044,0.000580949533867986,0.024102894719680166,-0.18017459466537522,0.8341035234657501
rnn_5f,0.013570342042643117,0.0005844212880167885,0.02417480688685617,-0.18722731750355526,0.8040710854168481
rf_5f,0.009468049251108768,0.0004944756170459074,0.022236807708075082,-0.004506462090860364,0.5610016766118601
