Model,MAE,MSE,RMSE,R2,MASE
linear_4f,0.010987310850947889,0.0004492684437291341,0.021195953475348406,0.12166539628235806,0.6386442388943129
ffnn_4f,0.012840555086279917,0.0005197703813924732,0.02279847322503139,-0.016168213763464,0.7463652063098101
rnn_4f,0.012896028845583178,0.0005617487458044852,0.02370123933056002,-0.09823729870629383,0.7495896528799898
rf_4f,0.009242796316296289,0.0005089443659442988,0.022559795343581882,0.00499700298219774,0.5372432525804942
