,rolling_alpha_4f,naive,rnn_4f
0,-0.0199838782764071,-0.0192907534858906,0.0047293156
1,-0.0045871008686304,-0.0041252058008445,0.0015972054
2,-0.0128393159885568,-0.0028913729474359,0.004024098
3,-0.0179657827229041,-0.0157151626431755,-0.004442867
4,-0.0055460576173367,-0.0061521920686566,0.000839564
5,-0.0039610627991778,-0.0037314318969218,-0.0029062796
6,-0.0028039838336576,-0.0038156931608176,0.003937933
7,-0.0030975250881613,-0.0029511381913599,-0.0017193704
8,-0.0105101095053866,-0.0058955616464438,-0.0019899588
9,0.003900625174194,0.0031513414962422,0.004880207
10,-0.0091102979575958,-0.0047722191891674,0.0020900597
11,-0.0036306376483819,-0.0028647459000357,0.0038306867
12,-0.0021403258157133,-0.0031579096470858,0.0042916574
13,0.0023771762883703,-0.00548436083883,0.0012531417
14,-0.0054327906229041,-0.0049403608087093,0.0011345329
15,-0.0141353471281119,-0.0119685780275228,-0.0039883126
16,0.0061291748637725,0.0052471720081265,0.011252801
17,-0.0011274597379473,-0.0043991226650976,0.0023599197
18,-0.0136164871742894,-0.0114239558377643,-0.0035002213
19,-0.0019747244895963,-0.0026692476377547,0.0026565662
20,-0.0056602233857227,-0.0053978836025701,0.0021753153
21,-0.0022614685284269,-0.0037152024802497,0.00083300506
22,-0.0087307492946172,-0.0077656322836577,-0.0027619852
23,-0.0036439645134657,-0.0058901472737354,0.00367609
24,7.893223034960428e-06,-0.0011885137771785,0.0044822427
25,-0.0048224746826339,-0.0016080421831202,0.0013724399
26,-0.0048082635422831,-0.0045678812608755,0.009210193
27,0.0066446055420956,0.0038341885450549,0.007480858
28,0.0126724202291667,0.0123159286826755,0.012831599
29,-0.0182895583348638,-0.0167647017960167,-0.0051685064
30,-0.0009999610574316,-0.0012280604939406,0.004065109
31,-0.0003679867614755,-0.0012308948547045,0.0024393257
32,-0.0047439142052975,-0.0064109955411378,-0.001641655
33,-0.0073631536971706,-0.0097192453724109,-0.0014455108
34,-0.0042629826641655,-0.0078341719899157,-0.003738733
35,-0.0055852105612662,-0.006106035182464,0.0010506298
36,0.0018327320721798,-0.0008761229236887,0.004176376
37,-0.0299638717995256,0.0622448993455181,0.028914297
38,-0.0087711011512745,-0.0121580157700136,-0.0034780381
39,-0.0063626809489887,-0.0069394491501269,0.00074911816
40,-0.0046932433521086,-0.0063590320334299,-0.009354766
41,0.0091229988806331,0.0032455721606121,0.006208899
42,0.0154238369092163,0.0781157447308903,0.032963045
43,0.0110528273560706,0.0102015350186136,0.012740974
