,rolling_alpha_3f,naive,rnn_3f
0,-0.0295490795839929,-0.0313207275333596,-0.004630932
1,-0.0045404623508886,-0.0043829973701796,-0.0054322905
2,-0.0035188085130921,0.0002378836264355,-0.004036817
3,-0.0140640767332486,-0.0115397678217604,-0.0057435185
4,-0.0026258652790435,-0.0030530491069957,-0.0048091863
5,-0.0053605649004688,-0.0050411417308838,-0.008380318
6,-0.0020502373296985,-0.0031709890129976,-0.003835495
7,-0.0045210607686856,-0.0042801525952738,-0.007741608
8,-0.0093067636658218,-0.0042739535877514,-0.007084781
9,0.0029269821389959,0.0024056528656545,-0.0059710653
10,-0.0093999000931393,-0.0055566767608976,-0.005856832
11,-0.0019393861821775,-0.0009440590414892,-0.0043328125
12,-0.0014174571406551,-0.0025487101484125,-0.0039976877
13,0.0069701320208534,-0.001785525122407,-0.0041540265
14,-0.0054288344046796,-0.0052348569548107,-0.0056599732
15,-0.0104329687460666,-0.0077169295375661,-0.0053140973
16,0.0040093015289392,0.0032690581595862,-0.0030911197
17,-0.0056634179169182,-0.0104028988436714,-0.006697344
18,-0.0099169952875814,-0.0071720320106681,-0.0051198634
19,-0.0047353681205573,-0.0063031167846965,-0.005329029
20,-0.0027861823558274,-0.0026130134251114,-0.0048227515
21,-0.0004105620005767,-0.0019721314602661,-0.004900836
22,-0.0068999860255784,-0.0057799449432993,-0.004591218
23,-0.0047535619907075,-0.0076603368530525,-0.005566238
24,-0.0019774722968111,-0.0032002405002377,-0.0045255595
25,0.0020567581368119,0.0064377706344642,0.00035112712
26,-0.0019444343073646,-0.0018001467904169,-0.007653155
27,0.0088723386175246,0.0059557736930456,-0.0011998253
28,0.0098886133922867,0.0092596183348565,0.00047998375
29,-0.0130011474296801,-0.0098669068887881,-0.0058480934
30,7.916013769757729e-05,-6.347378216303018e-05,-0.004042852
31,-0.0008806765905387,-0.002169734779216,-0.0045690225
32,-0.0038618216184973,-0.0057630452363289,-0.004924365
33,-0.0052004523334714,-0.0077957909952424,-0.0049198074
34,0.0078489015696538,0.0052146702829984,-0.0006938338
35,-0.0048342646437683,-0.0061161247772564,-0.006839299
36,0.0016430624466859,-0.0017093634095987,-0.0053430647
37,-0.0299638717995256,0.0622448993455181,-0.004625146
38,-0.0088857872307221,-0.0127716100521956,-0.006709773
39,-0.005609202966917,-0.0069513185261299,-0.006851898
40,-0.0037959090410931,-0.0056933915474314,-0.000954111
41,0.0118832056571936,0.0051155230241382,-0.0022814958
42,0.0154238369092163,0.0781157447308903,-0.009491403
43,0.0071680727910585,0.0060297215809989,-0.0013391752
44,0.0044792155192405,0.0005332434770177,-0.004550072
45,-0.0004653716316791,-0.0017697129724317,-0.004332066
46,0.0004561087394875,-0.0005528031139769,-0.0033196257
47,-0.0004456835622741,-0.0030353344379249,-0.003957419
48,0.0007906103723132,-0.0045546148989302,-0.005457205
49,-0.0181665670281902,-0.0217857140839295,-0.003965343
50,-0.0068567579036305,-0.0053711186669608,-0.0050790026
51,-0.0010568493361538,-0.0036300031179011,-0.0031905342
52,-0.0002231045141188,-0.002793383703499,-0.0030262773
53,-0.0085456672491668,-0.0040654770079871,-0.005399219
54,-0.0272324643349287,-0.0343669437897763,-0.004070205
55,-0.0102863851228148,-0.006192812184448,-0.0068644616
56,0.0013931131653386,0.0001343317792407,-0.004142084
57,-0.0041642164214757,-0.0060344977895607,-0.0066567166
58,-0.0067255127967803,-0.0033796107293242,-0.005450508
59,-0.0151885256915406,-0.0098920499362433,-0.006687376
60,-0.0085693297377563,-0.0089625800072145,-0.006038641
61,-0.0047861946269443,-0.0046069940610289,-0.005473652
62,-0.0070213121973831,-0.0036673793094984,-0.00575184
63,-0.0026635404490235,-0.0050542482994278,-0.005643997
64,-0.011274723937599,-0.0177937342675882,-0.003929689
65,0.0074893284032537,0.007680427711064,-0.0011756826
66,-0.0042993714276312,-0.0058233493175977,-0.005865439
67,-0.0076698379851549,-0.0064313309551045,-0.0043465737
68,-0.0021525060974882,-0.0019882143159532,-0.0046513756
69,0.0034859251358553,0.0029403503564204,-0.0040034093
70,-0.0213843407784056,-0.022214412001916,-0.0071243015
71,-0.0048040966284523,-0.0095697999925213,-0.007049576
72,-0.0066060380003206,-0.0033581032656676,-0.0057523507
73,-0.0098937511337687,-0.0049337769520311,-0.008572103
74,-0.0003181315243561,0.0009013702332643,-0.0034211925
75,0.0029535363771023,0.0010133338256035,-0.003551506
76,-0.0045014501826737,-0.0043480798469862,-0.0049875085
77,-0.0038577844146076,-0.0052052312466077,-0.0054576416
78,-0.0048638082212463,-0.0064858637280774,-0.00551615
79,-0.0095165634551703,-0.004835681902113,-0.0044580265
80,-0.0014141803363729,-0.0025429801839049,-0.0041314666
81,-0.0058538724933393,-0.0097117395026024,-0.006150665
82,-0.004768832448344,-0.0067283930395079,-0.0068061356
83,-0.0095310192779208,-0.0056054407447992,-0.005997919
84,-0.0019659809238942,-0.0017993336576248,-0.0045315833
85,-0.0137293897835436,-0.009382850516854,-0.005571913
86,-0.0031386154401578,-0.000516716947145,-0.0034128143
87,-0.0004156211115637,-0.0030096322332192,-0.00345437
88,0.0032398254742912,0.0014346969193327,-0.0037924708
89,-0.0042227799852394,-0.0039784914579144,-0.007972544
90,0.0078366594758403,-0.0009361697202081,-0.0037505068
91,-0.0061700669860763,-0.0077169939885778,-0.0054092766
92,-0.0047545684310791,-0.0063298592982826,-0.0056581665
93,-0.007183270713377,-0.0137544669823195,-0.006954663
94,-0.005946458627842,-0.0074982165258119,-0.0047561913
95,-0.0001129194209897,-0.0016952695562104,-0.003978549
96,-0.0097537608635551,-0.004928737591686,-0.0046979734
97,-0.0005932502237116,-0.0019462305231849,-0.0040852237
98,-0.0066196316624044,-0.0104848137018711,-0.007879087
99,-0.0043419456711489,-0.005075040766497,-0.0046102297
100,-0.0055824606159705,-0.0071913354161989,-0.005747725
101,-0.0011948841971308,-0.0023372186792895,-0.0030962802
102,-0.0060384432157728,-0.0099152301158483,-0.0068211155
103,-0.0006039209253051,0.0005902737711978,-0.0031033116
104,-0.003948784357721,-0.0058760036421473,-0.0065489556
105,0.0028959428727456,0.002345249723131,-0.0040127
106,-0.0060886122345332,-0.0031637994446621,-0.004499341
107,-0.0061481006956137,-0.0076895282723387,-0.0047189477
108,-0.0067488712140475,-0.0083010993742336,-0.0046686274
109,-0.0222231022455011,-0.0230797410956124,-0.0068697585
110,-0.0045061583410848,-0.0043781464216616,-0.0050535672
111,-0.0024096816735627,-0.0028261524040759,-0.0051546586
112,-0.0075881846025697,-0.0042153985485149,-0.0057860985
