,rolling_alpha_5f,lasso,ridge,xgboost,lgbm,rf,pca
0,-0.0162163458764498,-0.006022558953848936,-0.004631448656551899,-0.009785732,-0.010216444051945587,-0.008660575919126796,-0.004396701828057054
1,0.0145817086527929,-0.0028923793266956922,-0.00325514025707019,-0.0025990934,-0.0024328542726246767,-0.0017650818843642506,-0.002185102011605576
2,-0.0016677179957001,-0.0020727530902510307,-0.0023927135016292315,-0.0002134507,2.6041593801216223e-05,0.0002966776705225647,-0.0016853235462809739
3,-0.0072458084677796,-0.003808854652315556,-0.004445467111498418,-0.0042233714,-0.0038764347649645117,-0.0014537570935672572,-0.0025249189393769076
4,-0.0147477359579791,-0.00671671412716804,-0.007886118476924697,-0.00992297,-0.009705750499141554,-0.007550786945797015,-0.004752952737470181
5,-0.0013269279213109,-0.0021633665127371825,-0.003743893708805534,0.0010744649,0.001334836263977015,0.0015181204354950111,-0.001658387909092535
6,-0.0114160518523542,-0.006846625864046439,-0.006970261144160095,-0.008663006,-0.008907130708542205,-0.009710599117400466,-0.004789712655524408
7,0.0008159100619519,-0.002056507745681846,-0.0023901999065872445,-0.00018050073,2.6041593801216223e-05,0.0009314975945581566,-0.001594011000635327
8,0.0077479658047858,0.0018893348649061449,0.002818967566869454,0.0043345736,0.004512672817041443,0.005024172853263543,0.002970403110536836
9,-0.0121514190317196,0.009972035025511854,0.008699720676566911,0.0137757445,0.0142156296185067,0.020335379047031515,0.010917435226148797
10,-0.013994703424026,-0.006585852664631284,-0.00839043144883951,-0.007180209,-0.007342301281512064,-0.008092593144528181,-0.006645621203383531
11,0.0179583193277311,-0.0017716358607514538,-0.002927653582583751,-0.00085484603,-0.000651855748171049,0.0007954342952876742,5.710869843890012e-05
12,0.0033824312030487,-0.0025141520153029906,-0.003194305463547375,0.0003312501,0.0006427658264855099,0.0010107536428377694,-0.0009759904754828254
13,0.0001838209295667,-0.0015772900555777341,4.217904994294266e-05,-0.003246076,-0.0025646125004243504,-0.0015176503677211835,-0.003102061960556941
14,-0.001580500572945,-0.0036881260738260424,-0.004172329189237783,-0.0010794101,-0.0008378636905366527,-0.0007196296765968597,-0.00428008779336438
15,0.0002448571471502,-0.001590194909275003,0.0006687788233733219,-0.0029608877,-0.002857176273185099,-0.001343815271275318,-0.00595380583044065
16,-0.0124664316520484,-0.00489930474035406,-0.006211640511526088,-0.0046043973,-0.003988347292829577,-0.005025735286438039,-0.00435591323428129
17,-0.0004407973652087,-0.000690612326240401,-0.000698438953903244,0.0016314791,0.001776921768875537,0.00258817256054017,0.0004543847228702411
18,0.0009631317805119,-0.0013196972615243828,0.00028714879909863094,0.0013876307,0.0016809590057808015,0.0019937700898331355,-0.00023144162998673735
19,-0.0132367094159428,-0.007081605458261156,-0.006475484943163845,-0.008753914,-0.009004738064105247,-0.009951344766720485,-0.006033050202999582
