,rolling_alpha_5f,ridge,lstm,rf,pca
0,-0.0047079548103133,-0.003852038351708816,0.00059939944,-0.00207339432757508,-0.004179521886614117
1,0.0022021102315476,0.0010809574412953445,-0.0053754095,-0.0010080172672826348,-7.592298435669649e-05
2,0.0003489982609475,-0.0017849772211636474,-0.005854632,0.0025336275538485175,0.00029441049172209446
3,0.0013294665975475,-0.0012493084173466566,-0.0026598664,0.002476080296366486,0.00042808645984978444
4,-0.0027530386037068,-0.0027027890794433093,-0.0039418926,-0.001954356334522503,-0.0013334733092271488
5,-0.0060895552231895,-0.004786068952894644,-0.009740121,-0.005238624839387532,-0.004809550080260989
6,-0.0059905591655554,-0.0016094794312925447,-0.005288857,-0.003759562030586834,0.0004082343468666141
7,-0.0022899116151039,-0.002250863267050763,-0.004453797,-0.0009551751657896245,-0.00024726297962221217
8,0.0061546283473199,0.002623259047435102,0.0063122325,0.003421458382518389,0.002003784029327867
9,-0.0038899389210753,-0.004368198379913126,-0.005944088,-0.002940605456313446,-0.0037038894914560114
10,0.0035496605237632,-0.004201419164409686,-0.008829196,-0.0035644617999309436,-0.002470537064200259
11,0.0016726955707417,-0.002313449391719676,-0.004561073,0.00089422330094018,-0.00023019243049729384
12,0.0060224446494466,-0.002031690557235126,-0.0036049963,0.0017855263419682644,0.0004329112540739552
13,-0.0053775836784291,-0.005001666063222683,-0.008404208,-0.0007872092912563886,-0.0049554758066660655
14,0.0037267799513919,0.003384272801922352,0.012088474,0.008614772968686358,0.00343003546374538
15,-0.0048242349197138,-0.004735865835389084,-0.005974287,-0.004849166840804738,-0.0031372860297646083
16,0.001488289402866,-0.0008471385665747242,0.0008669987,-0.0036680919618155548,-0.0024179059081121954
17,-0.0023268538532961,-0.0018148539432415252,0.0018879559,-0.0018588581589654963,-0.001246496781100484
18,-0.0020132691352184,0.0014533813900476384,-0.003208031,0.0026731983450674346,0.0008507184009121132
19,-0.0028418063420007,-0.0013555136248141163,0.002224644,-0.0012907650868376175,-0.0007552522002903125
20,-0.0026707693427869,-0.003651904029896314,-0.0019621009,0.00038316592710900115,-0.0024244050982947783
21,0.0058268194542511,-0.0013766818744828193,0.0025643331,0.0024294330667426665,0.0001399989580023815
22,-0.0030270847755307,-0.0042485021269516,-0.0055913096,0.0007686505639128998,-0.0032092766745578996
23,-0.0097692751836421,-0.007419333371272334,-0.010999003,-0.007577819161614571,-0.00403586619901941
24,-0.0142064359583434,-0.0072471480866534085,-0.011725241,-0.008983021071050092,-0.0038662240194410375
25,-0.0006485160362401,-0.0006063419847516725,-0.0022950568,0.002173928110976578,0.00020795432729029572
26,-0.0142979441501287,-0.007169699757712467,-0.011570571,-0.01137613114210696,-0.003756224749208302
27,-0.0033237527410604,-0.0053477943594066315,-0.006421071,0.0017110032754405404,-0.004913241207174453
28,-0.0033932953455218,-0.004446944790258135,-0.008641328,-0.0028221568005772557,-0.0017063098200948892
29,-0.0191511972261854,-0.010300693067996821,-0.012883069,-0.013162844515280778,-0.006834836669581513
30,0.0177177922077923,-0.0033426129996291087,-0.0057832785,0.001736474402036739,-0.0004991255213474459
31,-0.0011970770402279,-0.0017126352509408372,-0.00058576954,0.001746052234946901,-0.0006845225159978355
32,-0.0112744740486677,-0.005588133148520302,-0.0114918705,-0.00664239470418519,-0.004103590922996785
33,-0.00444136518169,-0.0012153505215770572,-0.0005319931,0.0018844848144315821,-0.0017770130585492915
34,-0.4922958770379154,0.17681405845890294,0.095190905,0.03919792833944956,0.1701709330725683
35,-0.0017811195856748,-0.004617584426499414,-0.006697358,-0.0007438095929314426,-0.0030489837698352445
36,-0.0239229508196721,0.011622864728235238,0.017396303,0.01783712327965116,0.010263534514563296
37,-0.020095126597946,-0.007646055108459329,-0.028950443,-0.015588797276265746,-0.006434149031121713
38,-0.0059640981920731,-0.0037019075294683667,-0.0059038326,-0.004330821982957792,-0.0017967561626988592
39,-0.0001800016090265,-0.0015217528570362062,-0.0033878167,0.0036090671667115336,0.0004994017179973027
40,-0.0001169627808296,-0.00010009741522272624,0.006557717,0.0038312866414480975,-0.0017728201511112885
41,-0.0036864583701333,0.00019717255316134457,0.0039121555,-0.00304375733087428,-0.0014116804102571009
42,-3.3686767197730694e-05,-0.0004109737464927542,-0.0022565438,0.0029079314400370427,0.001113012348841842
43,-0.0004271241056614,-0.0011536575822258899,0.0006116291,-0.0021554924540300065,-7.278485536669444e-05
44,0.0181492742551566,-0.0020304090997390386,0.014476577,0.0014824538598316014,-4.171031993911455e-05
45,-8.299684422343454e-05,1.7051453745551172e-05,-0.0032467789,0.003929087956947566,-0.009490959782634048
46,0.0004060164144571,-0.001041323125562244,-0.0024113916,0.001068512938922091,0.0006695382576500001
47,-0.0032554020624099,-0.003536096978109241,-0.0036276507,-0.0018365837384917505,-0.0012920881858580026
48,0.006168965624048,-0.0013652578422136139,0.00290322,0.002551246550712263,0.00010770296153593008
49,-0.0008682143494399,-0.0008277168530057018,-0.0026417584,0.001300007118636182,3.576104234306424e-05
50,0.0002347433197478,-0.0009617092328013042,-0.0023584198,0.0029051709610746212,0.0011848979819508903
51,0.0053788497099008,-0.003154705792890259,0.00095263706,0.0027836325053297068,-0.0023670021301853464
52,0.0142038759689922,-0.0034788043573054355,-0.004937851,-0.002232970643691735,-0.0026190119238708397
53,0.0023827687916269,-0.000314612569021407,0.00055438397,0.007379720272797307,0.0019419273069254004
54,-0.0042420408592611,-0.003957224180215173,-0.0066716196,-0.0035356439632162583,-0.0021653061683731202
55,-0.0002012511596433,-0.002403613422208314,-0.003387024,0.00038074963272645006,-0.0004390754139977229
56,-0.0020680740236897,0.0012217551993835146,-0.0038438914,0.00598854642323036,0.0011809675322819674
57,-0.0003537111569358,-0.0017769728210157692,-0.0010398,0.0010174672832768414,7.292510609171625e-05
58,0.0027452795255957,0.00046551177592595716,0.0018262446,0.006198659220830142,0.0006218301084042501
59,-0.0054667116240426,-0.003462522679573422,-0.0037795184,-0.001563376040457825,-0.0009768115363756478
60,-0.0010926588390505,-0.003337793670144984,0.00090709585,-0.0022185153431340033,-0.0004909863619459336
61,0.0011792488443658,-0.0007177694424555927,0.0030766588,-0.0001753317594096203,0.001087843452808267
62,-0.004676553647501,-0.003553561068677608,-0.006904728,0.0021301168829285354,-0.002924951652593863
63,-0.0069962960110587,-0.006601069881353579,-0.011058571,-0.009448063627612803,-0.0058298692584843916
64,-0.0635227420610854,-0.027087048099072922,-0.07535378,-0.029471661965976143,-0.008779606071146076
65,0.0060768114456753,0.000887257864874116,0.007583307,0.004003058846275241,0.001166598216586209
66,-0.0059029919447639,-0.0007602769119015655,0.0011771286,0.004537079756296465,0.0005592847475961484
67,0.000476767537986,-0.0007829876844695651,-0.003812134,0.004228208291535933,-0.00013239599015885684
68,-0.0061633892325014,-0.006928129777119402,-0.009476461,-0.00691908663695617,-0.006965254227664875
69,0.0412478920268832,0.008358692549100525,0.010997206,0.02026505493564491,0.006809675817378213
70,-0.0032353202666043,-0.0033164136591890916,-0.0034038592,-0.001276347955615232,-0.0003152429134386617
71,-0.0002524295557411,-0.003428717295224936,0.0024416295,-0.002768653801173292,-0.003050772546086098
72,-0.0026356695008155,-0.0035375955458652416,0.0042555137,-0.0024828300363538432,-0.0041076328763626135
73,0.0291728450869444,0.007094450653091986,0.019325903,0.014385509362586505,0.005252494551334921
74,-0.0608968448729185,0.010389018149157847,0.021670563,0.01125307289862511,0.005031369483003239
75,0.0057643542435426,-0.0025186471268871186,-0.0036556418,0.0021840921373605703,-0.00015652624078121087
76,-0.0063580859983008,-0.007017262931835492,-0.010227983,-0.011394612240935915,-0.005538456626426156
77,-0.0323767162364215,-0.01678285865044719,-0.039494213,-0.022705292395985014,-0.013511060122604156
78,-0.004567973856209,-5.239324702242643e-05,0.0005709841,0.0044284984838698525,0.0016722530959383006
79,0.0020334424324774,-0.0014913262878533569,-0.003933182,0.00039567738771408814,0.00012891664936746586
80,0.0061084686346864,-0.0018120851681155898,-0.0039029452,0.0015289638088577145,4.437273137063659e-05
81,0.0007592351874473,-0.001677972202435602,-0.003500149,0.0027588470032593264,0.0006120363646360307
82,-0.0003203176713205,-0.005464352142110566,-0.0031395818,-0.00302102078307833,-0.003917384345488429
83,-0.000602887591907,-0.000967436449665315,0.0018300151,0.0032277543092280197,0.0007783721877684558
84,-0.009356007486692,-0.00431106321455889,-0.0046518818,-0.00507552988588529,-0.0026581957107411616
