,rolling_sharpe,naive,3f_rnn,4f_rnn,5f_rnn
8104,1.7728354330501257,1.744456410701763,1.6373448,1.797063,2.2356105
8105,1.968513080820544,2.250809132083204,2.0932784,2.0176773,2.3750863
8106,1.632315689235075,1.8651700271565448,1.6510574,1.6069533,2.0654995
8107,1.3340484396422847,1.3369408822234246,1.265446,1.4286942,1.6995655
8108,1.8594268103184644,2.0532442724358027,1.8952866,1.9703496,2.377244
8109,1.038998057646361,1.0859598254182974,1.0031657,0.95295346,1.2310784
8110,-0.3957898994460107,-0.3792730849676462,-0.15133917,-0.45002928,-0.10468453
8111,-0.535735394539017,0.2487176816854215,0.3829019,0.37866795,0.4236055
8112,1.5793850099547344,1.769025052271042,1.5564246,1.5442216,2.040648
8113,2.133881414015072,3.540731605839018,3.1528971,3.1779246,3.807365
8114,1.2921556930353029,1.426164173521868,1.3665509,1.4712515,1.8393524
8115,1.473724412420564,1.5006559536467772,1.414563,1.5376806,1.9256252
8116,1.6128798889167877,1.771043922215059,1.6552118,1.7404299,2.1148646
8117,1.3749673890059673,1.377334482855708,1.3275436,1.4810224,1.8649718
8118,-2.8194002064558985,-1.4471666337954006,-0.96163356,-1.0335027,-0.8231298
8119,1.803177608262846,2.179742241646647,2.0005503,2.0748,2.5349889
8120,1.4998163944448075,2.1202714895935544,1.8924391,1.9254563,2.4149632
8121,2.110201087192972,2.495378094061704,2.2653847,2.359799,2.8349986
8122,1.3002903507900574,1.7153950178498578,1.6156929,1.7798638,2.1871073
8123,1.5357232117847055,1.546314293917545,1.480713,1.6208061,2.0069265
8124,1.8920076868344933,1.915400614841388,1.7905807,2.0008218,2.5067306
8125,1.577543318352248,1.5757322696262042,1.4643395,1.586881,2.0162063
8126,1.0338756033893906,2.496569965420629,2.2404613,2.1966016,2.670032
8127,1.629355783730273,1.6533911112940736,1.5624154,1.6766284,2.0552475
8128,2.134451894153737,3.540267283583085,3.152936,3.178637,3.8089442
8129,1.9020824859975285,2.147140739102768,1.9749508,2.1316001,2.6203804
8130,1.4762112929083044,1.7677100406825592,1.6586945,1.8858699,2.314857
8131,1.705152834708456,1.9535391756173528,1.8348753,1.959784,2.396831
8132,2.196416095876575,2.4008884034600024,2.1861844,2.250009,2.7621403
8133,1.6103456649984322,4.131759111225638,3.7429197,3.7647672,4.324155
8134,2.099984885299523,2.2431032650605167,2.0050392,2.0088565,2.5045528
8135,1.372513653651953,1.4455817395208068,1.3044873,1.2711966,1.678567
8136,1.411443909522823,1.3691463551973109,1.1612854,1.299636,2.3194704
8137,2.0218932800926277,2.4678983277870072,2.2143946,2.226868,2.6645064
8138,1.7374079446204749,2.161741318369546,2.0192428,2.137145,2.452405
8139,1.6771962659374513,1.85642273923298,1.6215281,1.7742975,2.1973042
8140,1.641478914714778,1.8063884091200075,1.686249,1.8041017,2.252635
8141,1.984885338466563,2.9536566234247,2.69343,2.8084698,3.152897
8142,1.754738297145576,2.1265528168119063,1.9561124,1.9953163,2.4445276
8143,1.5058903876030991,1.4422757018322876,1.223153,1.0805542,1.5539608
8144,1.458704682915518,1.626284810533299,1.5182853,1.5470521,1.9089422
8145,1.017160524766526,1.2082233580382775,1.0723807,1.3337184,1.7527821
8146,1.4795367916247455,1.6489593931362143,1.5486155,1.5793121,1.9684204
8147,1.512667269132073,2.1511626010519267,1.9226241,1.9703139,2.461173
8148,1.2878932988095,1.3641154949014371,1.3093395,1.4127488,1.7747877
8149,2.196667297483146,2.3991733374229094,2.184975,2.2456162,2.7569895
8150,1.697613207672468,1.7212251426801837,1.6173538,1.7646341,2.2036757
8151,1.5567241308514606,1.7442862636279235,1.4898287,1.7625839,2.2490478
8152,1.0850799906714574,1.7969120181728324,1.6868157,1.9817091,2.1153088
8153,1.255690280563624,1.332034674764736,1.2708066,1.3693318,1.6932788
8154,0.9285830067643248,1.2011185257429713,1.0973904,1.113319,1.4002526
8155,1.74501869614653,1.7140970342998432,1.6146053,1.75636,2.1663597
8156,0.9519081461068016,1.143072408467338,1.1289673,1.1896278,1.557167
8157,1.721065125610418,1.969621901204205,1.8442423,1.9795146,2.4220257
8158,1.72834881714475,1.6305786023370323,1.504468,1.6203526,1.9285225
8159,1.7325958472098697,1.8679562083060244,1.7364842,1.79849,2.2128468
8160,1.3881553616923596,1.426232456658301,1.3400881,1.4047354,1.7838881
8161,1.5073011925818502,1.620427166001682,1.4748173,1.5411525,1.9799055
8162,2.179777314100295,2.36014749266909,2.1408381,2.2061129,2.715704
8163,1.6795547058085258,1.8411287521829616,1.722431,1.8379376,2.279901
8164,1.729164578157361,1.9764457409564475,1.8465424,1.9888093,2.4327307
8165,1.485798183030762,1.665685325920166,1.5568435,1.7888634,2.231934
8166,1.788652437964103,1.965945215464164,1.7651812,1.7819796,2.215321
8167,0.9548967123504244,1.137983455542236,1.1143606,1.1148645,1.3881696
8168,2.1027182604253585,3.4994969721943496,3.1246276,3.1185102,3.7446256
8169,1.052684939245366,2.5147309335465047,2.2619245,2.226386,2.7085352
8170,1.68065012923793,1.6206202018966274,1.4614369,1.4890935,1.8010715
8171,1.6879498725927315,1.7954962177237814,1.6322573,1.6651053,2.0931242
8172,1.6584662802631922,1.818970918263402,1.7062372,1.8059802,2.2368445
8173,1.0696005261098265,1.7782761790829058,1.6986705,1.9618418,2.0803714
8174,1.3024134028302097,1.719082888469926,1.616309,1.786692,2.1971982
8175,1.6481484827176598,1.8153131048608333,1.6927276,1.8143699,2.2659638
8176,1.57335909353311,1.6459275998333842,1.535558,1.7178559,2.1630483
8177,1.3783073432894273,1.6488922534562431,1.5787742,1.700579,2.062335
8178,2.050629213472086,3.429036558313536,3.0547729,3.0195904,3.596365
8179,1.3659534866416478,1.4808355936283646,1.3805505,1.4118937,1.812079
8180,2.0839114969472754,2.0597753248661705,1.8664417,1.8875649,2.318085
8181,1.85172726137037,1.8746508406852436,1.7484252,1.9434137,2.319974
8182,1.5129898609389558,1.363424771045991,1.1745036,1.0528606,1.5569503
8183,1.7392388134699557,2.3990740274010727,2.2215757,2.3557243,2.6526318
8184,0.7024363244039465,0.8838551587938293,0.91627514,0.9247354,1.2725617
8185,2.096257565950825,2.149379217573703,1.9516487,2.0140555,2.486466
8186,2.0186622591030554,2.304179645594193,2.1623397,2.1170306,2.5335798
8187,1.5785886075816642,1.7893933120206416,1.6827972,1.8527663,2.410219
