date,mkt_return
,
1994-01-01,
1994-02-01,-0.061834208611855845
1994-03-01,-0.05853430235518042
1994-04-01,0.031335542524720594
1994-05-01,0.05763200673491364
1994-06-01,-0.029753768513805845
1994-07-01,0.012571962015637483
1994-08-01,0.11278720336833614
1994-09-01,0.018665285579211544
1994-10-01,0.01003168904747298
1994-11-01,0.007094401445494558
1994-12-01,0.006339913817096532
1995-01-01,0.06370002746582037
1995-02-01,0.011563370271498785
1995-03-01,0.027695198877259353
1995-04-01,0.024959255390976542
1995-05-01,0.02293988166158445
1995-06-01,0.04140068415807652
1995-07-01,0.046297863725261346
1995-08-01,-0.004037062683751924
1995-09-01,0.08615485609265239
1995-10-01,0.02663544045153321
1995-11-01,0.04704198646590041
1995-12-01,0.05173591844306746
1996-01-01,0.05423951380461167
1996-02-01,-0.017190587965492332
1996-03-01,-0.0011244873345284123
1996-04-01,-0.019449660594514473
1996-05-01,0.03903316944983781
1996-06-01,0.01755570895623748
1996-07-01,-0.04958678294531904
1996-08-01,0.03560774675776157
1996-09-01,0.08065704441489618
1996-10-01,0.007032612198653698
1996-11-01,0.08200043792965839
1996-12-01,-0.04491978889942927
1997-01-01,0.10785324918893258
1997-02-01,0.012642696476051318
1997-03-01,-0.06864223689022853
1997-04-01,0.08105567070304565
1997-05-01,0.059297543523366913
1997-06-01,0.09218852176286929
1997-07-01,0.01855795626017298
1997-08-01,-0.080494608663361
1997-09-01,0.05659449350543455
1997-10-01,0.00906068193394427
1997-11-01,0.04209823641946131
1997-12-01,0.04168006162711202
1998-01-01,0.06875190133119902
1998-02-01,0.05360158275257576
1998-03-01,0.03553366870555119
1998-04-01,0.022898253757680953
1998-05-01,-0.021127630556363575
1998-06-01,0.07160513691277393
1998-07-01,0.0038744747870573804
1998-08-01,-0.1133063505561751
1998-09-01,0.11662697213271866
1998-10-01,0.034866777930928405
1998-11-01,0.06005977978442645
1998-12-01,0.04300741746100534
1999-01-01,-0.004245098798844826
1999-02-01,0.008146197326680982
1999-03-01,0.02289439020530959
1999-04-01,-0.0671721831266886
1999-05-01,-0.029723927310518095
1999-06-01,0.04503528925021838
1999-07-01,-0.055761251790797606
1999-08-01,0.03243115819780917
1999-09-01,-0.08175796870645313
1999-10-01,0.1098429751673935
1999-11-01,0.005744440100305059
1999-12-01,-0.08954645449133924
2000-01-01,0.05854092953752854
2000-02-01,-0.10502736753844077
2000-03-01,0.05387952683260977
2000-04-01,0.07861825883874185
2000-05-01,0.053962632595714544
2000-06-01,0.08298732619523141
2000-07-01,-0.056661968888298
2000-08-01,0.00501423474388929
2000-09-01,0.04957723995509156
2000-10-01,0.03597691750328491
2000-11-01,0.041344730945545916
2000-12-01,0.027179964955743152
2001-01-01,-0.08238512518221697
2001-02-01,0.0011564137223456505
2001-03-01,-0.07485866776106953
2001-04-01,0.026564658206207792
2001-05-01,0.01029916924020191
2001-06-01,-0.04653965678708116
2001-07-01,0.05292145656690739
2001-08-01,-0.03727520197505052
2001-09-01,0.014443240207568708
2001-10-01,-0.005721158840407026
2001-11-01,0.04718862629285758
2001-12-01,-0.03254215500840962
2002-01-01,-0.010321873036458262
2002-02-01,0.002541865406927135
2002-03-01,0.0014638195823819533
2002-04-01,-0.06264028575042457
2002-05-01,-0.02071616121274955
2002-06-01,-0.09240829932319872
2002-07-01,-0.022023804857304485
2002-08-01,0.010859416295742719
2002-09-01,-0.06493215360914173
2002-10-01,0.058731779381506755
2002-11-01,0.025288073146064516
2002-12-01,-0.03659070142793308
2003-01-01,-0.004990531124360875
2003-02-01,-0.019378621812931374
2003-03-01,0.033611196785929165
2003-04-01,0.03389999871540028
2003-05-01,0.016782675698008065
2003-06-01,0.042364546999690944
2003-07-01,-0.015336287130489401
2003-08-01,-0.03862533396066792
2003-09-01,0.0031906286968836906
2003-10-01,0.006607948403667407
2003-11-01,0.014509681671291297
2003-12-01,0.05726899604347424
2004-01-01,0.027169249844143595
2004-02-01,0.006905031075401302
2004-03-01,-0.041698972677300494
2004-04-01,0.03055746887261601
2004-05-01,-0.003555898181087369
2004-06-01,-0.003428125221884404
2004-07-01,-0.05422097441990914
2004-08-01,0.015621801467878837
2004-09-01,-0.01869852168869246
2004-10-01,-0.022225524819290854
2004-11-01,0.015296601323738557
2004-12-01,0.05607622304803184
2005-01-01,-0.032384175267440196
2005-02-01,0.028956468560226822
2005-03-01,-0.0058748194263728015
2005-04-01,0.033525526340259626
2005-05-01,0.007949142646972884
2005-06-01,-0.004150755381406412
2005-07-01,0.02281313588886813
2005-08-01,-0.005569257011502571
2005-09-01,-0.006201561245377962
2005-10-01,-0.030238888122204544
2005-11-01,0.007738784679391486
2005-12-01,0.03375527426160341
2006-01-01,0.014013588833971191
2006-02-01,0.007728444733619222
2006-03-01,-0.012968325121875734
2006-04-01,-0.03218581060247472
2006-05-01,-0.022607575671860114
2006-06-01,0.00019966723288367128
2006-07-01,0.05397927669450486
2006-08-01,0.026838411229861192
2006-09-01,0.014175066558696381
2006-10-01,0.004182649109942371
2006-11-01,-0.005432970558941541
2006-12-01,0.011211397759562258
2007-01-01,0.030097269385578773
2007-02-01,-0.025122359148086804
2007-03-01,0.0019724089452353155
2007-04-01,0.07094465149689833
2007-05-01,0.013105802893159657
2007-06-01,-0.03624026096738686
2007-07-01,-0.044082047746529684
2007-08-01,0.022660967575327762
2007-09-01,0.02936172054296926
2007-10-01,0.018538328227173828
2007-11-01,0.008587596137725528
2007-12-01,-0.03100680075509732
2008-01-01,-0.049060301451391286
2008-02-01,-0.025436353970375247
