,date,rolling_alpha_5f,lasso,ridge,xgboost,lgbm,rf,pca,lstm,benchmark_alpha,simple_avg,err_weighted
0,2019-03-29,-0.0642609718739927,0.0113224529113867,0.0051886755726151,0.016914604,0.0139424843622115,0.0128316574924784,0.0129080193774155,0.013421176,0.0,0.012361295673729598,0.012361295673729598
1,2019-03-29,-0.0299638717995256,0.0147973037464513,0.0088082044583204,0.018277567,0.0139424843622115,0.0142670646826998,0.0171734485683641,0.017850088,0.0,0.015016594402578158,0.014800328705173652
2,2019-03-29,-0.0211492391986794,-0.0018221675896957,-0.0077958093954656,-0.009166811,-0.0026990099243049,-0.0117479040330021,-0.0013776355110776,-3.0463561e-06,0.0,-0.004944626258520843,-0.006208440616117044
3,2019-03-29,-0.0191778174697088,-0.0012334567580991,-0.0091394773303808,-0.008550849,-0.0026990099243049,-0.0095128482503004,-0.0006247097672252,0.0016981591,0.0,-0.0042945988471872,-0.005595982883042416
4,2019-03-29,-0.0170322085948269,-0.0003515336517282,-0.0033910415480724,-0.008318172,-0.0026990099243049,-0.0061862618941637,-0.0008406896484773,-0.0024795504,0.0,-0.003466608438106643,-0.004080214650064191
5,2019-03-29,-0.016855366981349,5.807806464844115e-05,-0.004316981463445,-0.007295043,-0.0026990099243049,-0.0069211720306652,-0.001717574350035,-0.002719582,0.0,-0.0036587549576859515,-0.004164577099203
6,2019-03-29,-0.015587760774859,0.001610708266969,-0.0021167968106618,-0.0028445742,-0.0013192360727708,-0.0021815107556429,0.0019511831719791,0.0043310258,0.0,-8.131437144677152e-05,-0.0004607138310288767
7,2019-03-29,-0.015541182584949,0.0015984597097324,-1.0083020318104978e-05,-0.0028445742,-0.0013192360727708,-0.0025261673424657,0.0012295022725276,0.0022114082,0.0,-0.00023724149332780074,-0.0004743862890980944
8,2019-03-29,-0.0153443861083352,-0.0003594278679847,-0.0008727593578202,-0.008845219,-0.0026990099243049,-0.0058745304519904,-0.0013736162622681,0.00032401923,0.0,-0.002814363376338329,-0.0038647051379149273
9,2019-03-29,-0.0152404954246079,-0.0003021686833201,-0.0005451046411557,-0.008836561,-0.0026990099243049,-0.0058157730962122,-0.0008146555724451,0.00064096414,0.0,-0.002624615539634,-0.003751212826414909
10,2019-03-29,-0.0150196197008592,-0.0002783747643933,-0.0007234491426902,-0.008519495,-0.0026990099243049,-0.0056766523740791,-0.0013229153299414,0.00059633004,0.0,-0.002660509499344129,-0.0036719575874265757
11,2019-03-29,-0.0147855242876713,0.0002834573217803,-0.0021373086821829,-0.0073712147,-0.0026990099243049,-0.0062249818485741,-0.0005776299092923,-0.0013459837,0.0,-0.0028675244917962714,-0.0035790126250431686
12,2019-03-29,-0.0147530065348523,-0.0002292829750862,-0.0006401862042047,-0.008519495,-0.0026990099243049,-0.0057154851316669,-0.0013031700788071,0.0007548928,0.0,-0.002621676644867114,-0.0036870368507531163
13,2019-03-29,-0.0145586543477737,-0.0001891213998722,-0.0003861028728741,-0.007890171,-0.0026990099243049,-0.005617118187468,-0.0008985472363312,0.0014133439,0.0,-0.0023238181029786287,-0.0033060177912277054
14,2019-03-29,-0.0143007786077942,-5.387751929441988e-05,-0.0040906583265176,-0.007295043,-0.0026990099243049,-0.0064010884635521,-0.001710810761078,-0.0043771192,0.0,-0.00380394388496386,-0.00435544224044055
15,2019-03-29,-0.0142773881337652,0.0008124719767543,-0.0058824421606485,-0.004862635,-0.0026990099243049,-0.0059100068031213,3.788739417733434e-05,-0.0029959185,0.0,-0.0030713790024490093,-0.0036063039145059466
16,2019-03-29,-0.0140285340902154,0.0004394134865766,-0.0026318055466208,-0.006168181,-0.0026990099243049,-0.0056347751814008,-0.0002207220272335,-0.00095678587,0.0,-0.002553123723283343,-0.003097952877329462
17,2019-03-29,-0.0138602958760129,5.281821497506948e-05,-0.0035944141313559,-0.007295043,-0.0026990099243049,-0.0062989035825003,-0.0009725296832013,-0.0033087041,0.0,-0.0034451123151981906,-0.004081139194638443
18,2019-03-29,-0.0136257496837194,0.0007613893157853,-0.0035604695993856,-0.005112907,-0.0026990099243049,-0.0055751906218674,-0.0016789341408015,-0.0038121268,0.0,-0.003096749824367729,-0.0034463368366704616
19,2019-03-29,-0.0132067341915461,-0.0019955699786184,0.0088474257979579,-0.008268489,-0.0026990099243049,-0.008471587332986,-0.0017075390274924,0.00692363,0.0,-0.0010530199236348286,-0.004232451276151018
20,2019-03-29,-0.0127165682407103,0.0009865179952208,-0.0020811798982117,-0.004862635,-0.0026990099243049,-0.0050913365190114,-0.0008326966497022,-0.0027347887,0.0,-0.0024735898137156287,-0.0028521681448816973
21,2019-03-29,-0.0124642255552492,0.0010417245051632,-0.001965115020836,-0.0047984775,-0.0026990099243049,-0.0049471402795879,-0.0007621984672571,-0.0028541014,0.0,-0.0024263311552603856,-0.0028048155592384624
22,2019-03-29,-0.0118795149850648,0.001263561656665,-0.0019712584612546,-0.0041553252,-0.0023530409045704,-0.0041614540824317,0.0009380157840602,-0.0005851295,0.0,-0.0015749472439330714,-0.001986454092863553
23,2019-03-29,-0.0113050123394309,0.0011845196704976,-0.0008542356902131,-0.0042967256,-0.0023530409045704,-0.0041786306175845,0.0008662535292562,0.00015670992,0.0,-0.0013535928132306,-0.0018439705734026107
24,2019-03-29,-0.0110856251005198,-0.0008885899816898,-0.0023341695213142,-0.008901177,-0.0026990099243049,-0.0088780014761724,-0.0015306979033907,-0.0028969767,0.0,-0.004018374643838857,-0.006320279363254722
25,2019-03-29,-0.0109696401153355,0.0017291468959779,-0.0024233234904803,-0.0015525022,-3.6376183975272224e-05,-0.0024219577799551,0.0014108028676089,-0.0008622012,0.0,-0.0005937730129748389,-0.0008263206271234196
26,2019-03-29,-0.0109015829203253,0.0017777771684849,-0.0040461200583407,-0.0013022304,-3.6376183975272224e-05,-0.0024882053335714,-0.0008604159979239,-6.524008e-05,0.0,-0.001002972983618053,-0.0013345002850703254
27,2019-03-29,-0.0107781069612072,0.0013571167861496,-0.0018624505909205,-0.0030223047,-0.0013192360727708,-0.0035344139884397,-0.0002698646015057,-0.001788524,0.0,-0.0014913824524981569,-0.0017303897257165924
28,2019-03-29,-0.0104237296580684,0.0019061470501002,-0.0036325196377151,-0.0009963617,0.0001733456320715,-0.0020753571120136,-8.743112296600956e-05,-0.00048131868,0.0,-0.0007419279386461443,-0.0010390874209302331
