,date,rolling_alpha_5f,lasso,ridge,xgboost,lgbm,rf,pca,lstm,benchmark_alpha,simple_avg,err_weighted
0,2020-01-31,-0.4922958770379154,0.1747512021405008,0.1768140584589023,0.027118756,0.0225866850891092,0.0420866893548599,0.170170933072569,0.095190905,0.0,0.10124560415942019,0.10124560415942019
1,2020-01-31,-0.2211791327640143,0.0823458366033589,0.0811567860538788,0.027123228,0.0225866850891092,0.0199159028548679,0.0777142279807095,-0.0051487708,0.0,0.04367055654027491,0.035387548213719026
2,2020-01-31,-0.2140972411759405,0.0522669205193255,0.0507629337851752,0.029551242,0.0225866850891092,0.0245620099451252,0.0503888416620597,0.0013912998,0.0,0.03307284754297069,0.030427891141624634
3,2020-01-31,-0.1961133014562051,0.0186151196539235,0.0135096670491503,0.018519765,0.0188160943925389,0.0260102793832494,0.0097930436264075,-0.0028310036,0.0,0.014633280786467084,0.01390513431140279
4,2020-01-31,-0.1555376850511551,-0.0434744776473712,-0.0482672976583685,-0.059701763,-0.0686106054983015,-0.0321372393889995,-0.0236927261017856,-0.12300434,0.0,-0.05698406418497518,-0.09683457360433043
5,2020-01-31,-0.099079074982002,-0.0357628168549645,-0.0369834774470666,-0.04736389,-0.0583512475233244,-0.0416415594265704,-0.0197637712109219,-0.09927176,0.0,-0.048448360351835404,-0.09916189727680817
6,2020-01-31,-0.0989685385860228,0.0409732987897717,0.0413647034293107,0.025641639,0.0179781532572645,0.0282228106036408,0.0382483810505519,0.005776763,0.0,0.028315107018648512,0.02573042221447721
7,2020-01-31,-0.0865885733981855,-0.0353043044077016,-0.0389606372608682,-0.054824676,-0.0583512475233244,-0.039254094938513,-0.0197412139975983,-0.1156097,0.0,-0.05172083916114364,-0.06443967136358955
8,2020-01-31,-0.0859578340730235,-0.0343192103943145,-0.0374781003326586,-0.054824676,-0.0583512475233244,-0.040508562531206,-0.0174642071215278,-0.114639334,0.0,-0.05108361970043305,-0.064184858900761
9,2020-01-31,-0.0784417404398575,0.1048991193285005,0.1018596668088276,0.026186112,0.0225866850891092,0.0177934554532222,0.0984904122502452,-0.0019295627,0.0,0.05284084117570067,0.027824440448117473
10,2020-01-31,-0.0689809241334936,-0.0258213775428791,-0.0252431066104684,-0.028962018,-0.0330484074729914,-0.0296266773496737,-0.0141083059753635,-0.07653715,0.0,-0.03333529185019658,-0.06838332803754742
